"sales_key","order_id","date_key","customer_key","product_key","order_status","quantity","unit_price","unit_cost","gross_revenue","cogs","gross_profit","allocated_discount","allocated_shipping","net_revenue","net_profit"
"112","61","20260316","1523","234","Cancelled","2","172.64","112.28","345.28","224.56","120.72","0.00","1.50","345.28","120.72"
"113","62","20250904","1793","192","Completed","1","170.10","125.07","170.10","125.07","45.03","5.00","3.33","165.10","40.03"
"114","62","20250904","1793","199","Completed","1","154.93","112.90","154.93","112.90","42.03","5.00","3.33","149.93","37.03"
"115","62","20250904","1793","235","Completed","2","40.99","23.15","81.98","46.30","35.68","5.00","3.33","76.98","30.68"
"116","63","20260608","1974","194","Cancelled","1","308.11","207.51","308.11","207.51","100.60","7.50","3.00","300.61","93.10"
"117","63","20260608","1974","215","Cancelled","2","45.82","32.17","91.64","64.34","27.30","7.50","3.00","84.14","19.80"
"118","64","20260214","1557","231","Completed","1","111.88","80.39","111.88","80.39","31.49","10.00","0.00","101.88","21.49"
"119","65","20260722","1546","225","Cancelled","1","98.36","65.70","98.36","65.70","32.66","15.00","5.99","83.36","17.66"
"120","66","20260709","1635","227","Completed","1","220.71","129.38","220.71","129.38","91.33","0.00","5.99","220.71","91.33"
"121","67","20260616","1755","193","Completed","2","232.94","146.33","465.88","292.66","173.22","2.50","0.00","463.38","170.72"
"122","67","20260616","1755","192","Completed","1","170.10","125.07","170.10","125.07","45.03","2.50","0.00","167.60","42.53"
"123","67","20260616","1755","209","Completed","1","157.08","117.89","157.08","117.89","39.19","2.50","0.00","154.58","36.69"
"124","67","20260616","1755","227","Completed","1","220.71","129.38","220.71","129.38","91.33","2.50","0.00","218.21","88.83"
"125","68","20260630","1839","218","Returned","2","195.26","111.40","390.52","222.80","167.72","0.00","0.00","390.52","167.72"
"126","69","20260612","1876","211","Completed","1","412.95","299.35","412.95","299.35","113.60","0.00","0.00","412.95","113.60"
"127","69","20260612","1876","202","Completed","1","148.28","83.26","148.28","83.26","65.02","0.00","0.00","148.28","65.02"
"128","70","20260227","1969","235","Completed","1","40.99","23.15","40.99","23.15","17.84","0.00","3.33","40.99","17.84"
"129","70","20260227","1969","239","Completed","1","116.83","67.33","116.83","67.33","49.50","0.00","3.33","116.83","49.50"
"130","70","20260227","1969","206","Completed","3","140.62","81.04","421.86","243.12","178.74","0.00","3.33","421.86","178.74"
"131","71","20260806","1630","198","Completed","1","71.76","49.35","71.76","49.35","22.41","0.00","9.99","71.76","22.41"
"132","72","20260922","1956","214","Completed","2","443.92","253.54","887.84","507.08","380.76","7.50","5.00","880.34","373.26"
"133","72","20260922","1956","188","Completed","1","147.11","98.96","147.11","98.96","48.15","7.50","5.00","139.61","40.65"
"134","73","20260131","1658","195","Cancelled","1","249.99","156.58","249.99","156.58","93.41","2.50","5.00","247.49","90.91"
"135","73","20260131","1658","231","Cancelled","1","111.88","80.39","111.88","80.39","31.49","2.50","5.00","109.38","28.99"
"136","74","20250709","1969","200","Cancelled","1","212.44","119.33","212.44","119.33","93.11","7.50","3.00","204.94","85.61"
"137","74","20250709","1969","193","Cancelled","1","232.94","146.33","232.94","146.33","86.61","7.50","3.00","225.44","79.11"
"138","75","20260501","1739","201","Completed","1","183.21","138.22","183.21","138.22","44.99","5.00","9.99","178.21","39.99"
"139","76","20260404","1915","219","Completed","3","272.42","159.43","817.26","478.29","338.97","7.50","5.00","809.76","331.47"
"140","76","20260404","1915","189","Completed","1","413.12","294.37","413.12","294.37","118.75","7.50","5.00","405.62","111.25"
"141","77","20260913","1558","212","Completed","2","97.33","68.97","194.66","137.94","56.72","0.00","5.99","194.66","56.72"
"142","78","20251026","1692","220","Cancelled","1","97.88","74.33","97.88","74.33","23.55","0.00","9.99","97.88","23.55"
"143","79","20260617","1656","221","Returned","1","211.10","133.66","211.10","133.66","77.44","5.00","5.99","206.10","72.44"
"144","80","20260430","1907","200","Completed","2","212.44","119.33","424.88","238.66","186.22","0.00","0.00","424.88","186.22"
"145","81","20260118","1718","213","Cancelled","1","148.42","96.71","148.42","96.71","51.71","7.50","5.00","140.92","44.21"
"146","81","20260118","1718","207","Cancelled","1","440.02","275.08","440.02","275.08","164.94","7.50","5.00","432.52","157.44"
"147","82","20260709","1683","209","Completed","1","157.08","117.89","157.08","117.89","39.19","7.50","0.00","149.58","31.69"
"148","82","20260709","1683","181","Completed","1","101.22","64.39","101.22","64.39","36.83","7.50","0.00","93.72","29.33"
"149","83","20260918","1594","211","Cancelled","2","412.95","299.35","825.90","598.70","227.20","15.00","5.99","810.90","212.20"
"150","84","20260822","1654","238","Completed","2","192.21","117.17","384.42","234.34","150.08","0.00","3.00","384.42","150.08"
"151","84","20260822","1654","204","Completed","1","186.71","108.43","186.71","108.43","78.28","0.00","3.00","186.71","78.28"
"152","85","20260919","1712","185","Returned","1","121.63","79.08","121.63","79.08","42.55","5.00","5.00","116.63","37.55"
"153","85","20260919","1712","197","Returned","1","49.20","27.84","49.20","27.84","21.36","5.00","5.00","44.20","16.36"
"154","86","20260419","1571","225","Completed","2","98.36","65.70","196.72","131.40","65.32","0.00","5.00","196.72","65.32"
"155","86","20260419","1571","235","Completed","1","40.99","23.15","40.99","23.15","17.84","0.00","5.00","40.99","17.84"
"156","87","20260719","1800","207","Completed","1","440.02","275.08","440.02","275.08","164.94","0.00","2.00","440.02","164.94"
"157","87","20260719","1800","187","Completed","1","90.39","64.58","90.39","64.58","25.81","0.00","2.00","90.39","25.81"
"158","87","20260719","1800","183","Completed","1","60.67","34.80","60.67","34.80","25.87","0.00","2.00","60.67","25.87"
"159","88","20260422","1598","240","Completed","1","51.43","38.16","51.43","38.16","13.27","2.50","3.00","48.93","10.77"
"160","88","20260422","1598","204","Completed","1","186.71","108.43","186.71","108.43","78.28","2.50","3.00","184.21","75.78"
"161","89","20260914","1960","205","Returned","1","77.40","52.92","77.40","52.92","24.48","5.00","9.99","72.40","19.48"
"162","90","20260208","1796","217","Completed","1","148.68","108.91","148.68","108.91","39.77","15.00","9.99","133.68","24.77"
"163","91","20260418","1518","186","Completed","2","423.31","240.26","846.62","480.52","366.10","5.00","5.99","841.62","361.10"
"164","92","20260819","1903","219","Returned","1","272.42","159.43","272.42","159.43","112.99","5.00","9.99","267.42","107.99"
"165","93","20260804","1616","219","Completed","1","272.42","159.43","272.42","159.43","112.99","0.00","0.00","272.42","112.99"
"166","93","20260804","1616","231","Completed","1","111.88","80.39","111.88","80.39","31.49","0.00","0.00","111.88","31.49"
"167","94","20260922","1608","236","Cancelled","2","335.82","190.06","671.64","380.12","291.52","2.50","5.00","669.14","289.02"
"168","94","20260922","1608","218","Cancelled","1","195.26","111.40","195.26","111.40","83.86","2.50","5.00","192.76","81.36"
"169","95","20260217","1535","201","Completed","1","183.21","138.22","183.21","138.22","44.99","0.00","5.00","183.21","44.99"
"170","95","20260217","1535","235","Completed","2","40.99","23.15","81.98","46.30","35.68","0.00","5.00","81.98","35.68"
"171","96","20260903","1639","189","Returned","1","413.12","294.37","413.12","294.37","118.75","10.00","9.99","403.12","108.75"
"172","97","20260916","1858","206","Completed","2","140.62","81.04","281.24","162.08","119.16","5.00","9.99","276.24","114.16"
"173","98","20260517","1807","213","Cancelled","1","148.42","96.71","148.42","96.71","51.71","3.33","3.33","145.09","48.38"
"174","98","20260517","1807","231","Cancelled","3","111.88","80.39","335.64","241.17","94.47","3.33","3.33","332.31","91.14"
"175","98","20260517","1807","221","Cancelled","1","211.10","133.66","211.10","133.66","77.44","3.33","3.33","207.77","74.11"
"176","99","20260528","1654","237","Cancelled","1","155.89","96.42","155.89","96.42","59.47","7.50","5.00","148.39","51.97"
"177","99","20260528","1654","235","Cancelled","1","40.99","23.15","40.99","23.15","17.84","7.50","5.00","33.49","10.34"
"178","100","20260805","1873","185","Completed","1","121.63","79.08","121.63","79.08","42.55","10.00","5.99","111.63","32.55"
"179","101","20260803","1782","187","Cancelled","1","90.39","64.58","90.39","64.58","25.81","5.00","5.99","85.39","20.81"
"180","102","20251030","1913","223","Returned","1","80.76","46.98","80.76","46.98","33.78","0.00","3.33","80.76","33.78"
"181","102","20251030","1913","226","Returned","1","155.18","87.63","155.18","87.63","67.55","0.00","3.33","155.18","67.55"
"182","102","20251030","1913","225","Returned","1","98.36","65.70","98.36","65.70","32.66","0.00","3.33","98.36","32.66"
"183","103","20260420","1722","187","Completed","2","90.39","64.58","180.78","129.16","51.62","7.50","3.00","173.28","44.12"
"184","103","20260420","1722","224","Completed","2","44.39","27.23","88.78","54.46","34.32","7.50","3.00","81.28","26.82"
"185","104","20260902","1935","216","Completed","1","315.71","189.79","315.71","189.79","125.92","5.00","5.99","310.71","120.92"
"186","105","20251129","1792","210","Completed","1","116.09","88.40","116.09","88.40","27.69","15.00","5.99","101.09","12.69"
"187","106","20250623","1501","239","Cancelled","2","116.83","67.33","233.66","134.66","99.00","5.00","0.00","228.66","94.00"
"188","106","20250623","1501","197","Cancelled","1","49.20","27.84","49.20","27.84","21.36","5.00","0.00","44.20","16.36"
"189","106","20250623","1501","210","Cancelled","2","116.09","88.40","232.18","176.80","55.38","5.00","0.00","227.18","50.38"
"190","107","20250812","1566","189","Completed","1","413.12","294.37","413.12","294.37","118.75","0.00","5.99","413.12","118.75"
"191","108","20260514","1686","182","Completed","3","336.54","258.11","1009.62","774.33","235.29","0.00","3.00","1009.62","235.29"
"192","108","20260514","1686","217","Completed","2","148.68","108.91","297.36","217.82","79.54","0.00","3.00","297.36","79.54"
"193","109","20260901","1569","221","Returned","1","211.10","133.66","211.10","133.66","77.44","15.00","0.00","196.10","62.44"
"194","110","20250825","1917","224","Completed","1","44.39","27.23","44.39","27.23","17.16","5.00","0.00","39.39","12.16"
"195","111","20250928","1914","188","Completed","1","147.11","98.96","147.11","98.96","48.15","2.50","5.00","144.61","45.65"
"196","111","20250928","1914","182","Completed","1","336.54","258.11","336.54","258.11","78.43","2.50","5.00","334.04","75.93"
"197","112","20260911","1777","238","Completed","1","192.21","117.17","192.21","117.17","75.04","7.50","0.00","184.71","67.54"
"198","112","20260911","1777","202","Completed","1","148.28","83.26","148.28","83.26","65.02","7.50","0.00","140.78","57.52"
"199","113","20251213","1657","238","Completed","1","192.21","117.17","192.21","117.17","75.04","5.00","5.00","187.21","70.04"
"200","113","20251213","1657","201","Completed","2","183.21","138.22","366.42","276.44","89.98","5.00","5.00","361.42","84.98"
"201","114","20260307","1767","236","Cancelled","1","335.82","190.06","335.82","190.06","145.76","3.33","0.00","332.49","142.43"
"202","114","20260307","1767","235","Cancelled","1","40.99","23.15","40.99","23.15","17.84","3.33","0.00","37.66","14.51"
"203","114","20260307","1767","240","Cancelled","1","51.43","38.16","51.43","38.16","13.27","3.33","0.00","48.10","9.94"
"204","115","20260306","1553","230","Completed","1","94.90","67.25","94.90","67.25","27.65","0.00","5.99","94.90","27.65"
"205","116","20260720","1642","226","Completed","1","155.18","87.63","155.18","87.63","67.55","0.00","5.99","155.18","67.55"
"206","117","20251022","1811","193","Completed","1","232.94","146.33","232.94","146.33","86.61","3.33","3.33","229.61","83.28"
"207","117","20251022","1811","234","Completed","1","172.64","112.28","172.64","112.28","60.36","3.33","3.33","169.31","57.03"
"208","117","20251022","1811","201","Completed","2","183.21","138.22","366.42","276.44","89.98","3.33","3.33","363.09","86.65"
"209","118","20251106","1736","218","Completed","1","195.26","111.40","195.26","111.40","83.86","0.00","0.00","195.26","83.86"
"210","119","20250422","1917","197","Completed","1","49.20","27.84","49.20","27.84","21.36","7.50","3.00","41.70","13.86"
"211","119","20250422","1917","237","Completed","1","155.89","96.42","155.89","96.42","59.47","7.50","3.00","148.39","51.97"
"212","120","20260810","1552","219","Completed","1","272.42","159.43","272.42","159.43","112.99","5.00","3.33","267.42","107.99"
"213","120","20260810","1552","224","Completed","1","44.39","27.23","44.39","27.23","17.16","5.00","3.33","39.39","12.16"
"214","120","20260810","1552","189","Completed","1","413.12","294.37","413.12","294.37","118.75","5.00","3.33","408.12","113.75"
"215","121","20260403","1642","198","Returned","1","71.76","49.35","71.76","49.35","22.41","0.00","5.99","71.76","22.41"
"216","122","20260327","1681","235","Completed","1","40.99","23.15","40.99","23.15","17.84","0.00","0.00","40.99","17.84"
"217","122","20260327","1681","239","Completed","1","116.83","67.33","116.83","67.33","49.50","0.00","0.00","116.83","49.50"
"218","123","20250919","1550","226","Completed","1","155.18","87.63","155.18","87.63","67.55","0.00","0.00","155.18","67.55"
"219","124","20260627","1832","239","Returned","2","116.83","67.33","233.66","134.66","99.00","0.00","2.50","233.66","99.00"
"220","124","20260627","1832","208","Returned","1","270.85","183.28","270.85","183.28","87.57","0.00","2.50","270.85","87.57"
"221","124","20260627","1832","235","Returned","1","40.99","23.15","40.99","23.15","17.84","0.00","2.50","40.99","17.84"
"222","124","20260627","1832","228","Returned","1","68.08","45.01","68.08","45.01","23.07","0.00","2.50","68.08","23.07"
"223","125","20260420","1823","228","Cancelled","1","68.08","45.01","68.08","45.01","23.07","5.00","0.00","63.08","18.07"
"224","125","20260420","1823","202","Cancelled","1","148.28","83.26","148.28","83.26","65.02","5.00","0.00","143.28","60.02"
"225","126","20260826","1633","227","Completed","2","220.71","129.38","441.42","258.76","182.66","15.00","0.00","426.42","167.66"
"226","127","20260710","1794","198","Completed","1","71.76","49.35","71.76","49.35","22.41","15.00","0.00","56.76","7.41"
"227","128","20260909","1844","218","Cancelled","2","195.26","111.40","390.52","222.80","167.72","0.00","5.00","390.52","167.72"
"228","128","20260909","1844","217","Cancelled","2","148.68","108.91","297.36","217.82","79.54","0.00","5.00","297.36","79.54"
"229","129","20250605","1676","198","Completed","2","71.76","49.35","143.52","98.70","44.82","7.50","0.00","136.02","37.32"
"230","129","20250605","1676","194","Completed","1","308.11","207.51","308.11","207.51","100.60","7.50","0.00","300.61","93.10"
"231","130","20251123","1917","196","Completed","1","65.17","42.83","65.17","42.83","22.34","5.00","5.99","60.17","17.34"
"232","131","20260902","1774","185","Completed","1","121.63","79.08","121.63","79.08","42.55","5.00","0.00","116.63","37.55"
"233","131","20260902","1774","191","Completed","1","45.75","27.33","45.75","27.33","18.42","5.00","0.00","40.75","13.42"
"234","132","20260327","1882","214","Cancelled","1","443.92","253.54","443.92","253.54","190.38","0.00","5.00","443.92","190.38"
"235","132","20260327","1882","230","Cancelled","1","94.90","67.25","94.90","67.25","27.65","0.00","5.00","94.90","27.65"
"236","133","20260207","1949","194","Completed","1","308.11","207.51","308.11","207.51","100.60","0.00","3.33","308.11","100.60"
"237","133","20260207","1949","219","Completed","1","272.42","159.43","272.42","159.43","112.99","0.00","3.33","272.42","112.99"
"238","133","20260207","1949","229","Completed","3","328.53","211.34","985.59","634.02","351.57","0.00","3.33","985.59","351.57"
"239","134","20260904","1967","233","Returned","2","100.29","55.86","200.58","111.72","88.86","0.00","1.50","200.58","88.86"
"240","134","20260904","1967","207","Returned","1","440.02","275.08","440.02","275.08","164.94","0.00","1.50","440.02","164.94"
